appln_id,weighted_weak_ties,age,KR.x,techsum,d_index,c_index,D_index,citation_num,docdb_family_size,appln_auth,appln_filing_year,appln_kind,science_intensity,avg,sect.y,avg2,focal_aid,tie_strength,Bool_weak,weighted_tie_strengh,Bool_weighted_weak,new_Bool_weighted_weak,IPC_LIST,number_of_ipc4,ipc_distance
151121,2,0.0,0.697888689,0.0,0.0,0.0,0.0,0,7,EP,2005,A,0.5,0.0,1,0.0,151121,0.0110974106041923,0,0.039986633994208,0,强链接,C07D;A61K,2,0.7586259285942241
151574,2,0.0,0.58032804,0.0,0.0,0.0,0.0,0,18,EP,2005,A,0.857142857,0.0,2,0.0,151574,0.0121212121212121,0,0.0127922364358182,0,强链接,C07D;A61K;A61P,3,0.5585213767579899
154029,2,0.0,0.858158449,0.0,0.437471655,0.0,0.066666667,2,8,EP,2006,A,0.0,0.0,2,0.0,154029,0.0,2,0.0,2,,A61K;C07H;A61P;A23L,4,0.5967087958618148
155639,2,3.166666667,0.801310882,34.16666667,0.0,0.0,0.0,0,7,EP,2006,A,0.444444444,0.0,7,0.0,155639,0.0,1,0.0,1,弱链接,A61K;C12N,2,0.515266476217991
156045,0,21.0,0.591581109,1039.0,0.0,0.0,0.0,0,15,EP,2006,A,0.428571429,0.435501654,4,0.18966169,156045,0.024390243902439,0,0.4215581643543223,0,强链接,C07D;A61K;A61P,3,0.5585213767579899
156132,0,19.66666667,0.895969208,1262.0,0.474323232,0.0,0.030075188,4,15,EP,2006,A,0.193548387,0.106308602,7,0.011301519,156132,0.0178649984562744,1,0.131379718263515,0,强链接,G01N;A61K;A61Q;A61P;C12Q,5,0.5733652675907033
158217,0,28.33333333,0.368946374,737.0,0.178174603,0.0,0.010638298,2,4,EP,2007,A,0.090909091,0.108521486,5,0.011776913,158217,0.0,2,0.0,2,,A61K;A61P,2,0.40579033829646605
158620,2,0.0,0.915755459,0.0,0.0,0.0,0.0,0,11,EP,2007,A,0.772727273,0.0,4,0.0,158620,0.0444444444444444,0,0.4489559164733178,0,强链接,A61K;G01N,2,0.6753434781327368
158679,2,0.0,0.368946374,0.0,0.078812098,0.0,0.004938272,2,9,EP,2007,A,0.058823529,0.0,4,0.0,158679,0.0,1,0.0,1,弱链接,A61K;A61P,2,0.40579033829646605
158841,0,27.5,0.861617716,4499.5,0.461574074,0.0,0.057142857,2,14,EP,2005,A,0.454545455,0.005972964,2,3.57e-05,158841,0.0037688442211055,0,0.0059061237177494,0,强链接,G01N;C12N;A61K;C07K;A61P;C12Q,6,0.5480386160131006
